CustomerKey,GeographyKey,CustomerName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,Education,Occupation,HouseOwnerFlag,Address,FirstPurchaseDate
11000,26,Jon Yang,06-10-1971,M,M,jon24@adventure-works.com,90000,Bachelors,Professional,1,3761 N. 14th St,19-01-2011
11001,37,Eugene Huang,10-05-1976,S,M,eugene10@adventure-works.com,60000,Bachelors,Professional,0,2243 W St.,15-01-2011
11002,31,Ruben Torres,09-02-1971,M,M,ruben35@adventure-works.com,60000,Bachelors,Professional,1,5844 Linden Land,07-01-2011
11003,11,Christy Zhu,14-08-1973,S,F,christy12@adventure-works.com,70000,Bachelors,Professional,0,1825 Village Pl.,29-12-2010
11004,19,Elizabeth Johnson,05-08-1979,S,F,elizabeth5@adventure-works.com,80000,Bachelors,Professional,1,7553 Harness Circle,23-01-2011
11005,22,Julio Ruiz,01-08-1976,S,M,julio1@adventure-works.com,70000,Bachelors,Professional,1,7305 Humphrey Drive,30-12-2010
11006,8,Janet Alvarez,02-12-1976,S,F,janet9@adventure-works.com,70000,Bachelors,Professional,1,2612 Berry Dr,24-01-2011
11007,40,Marco Mehta,06-11-1969,M,M,marco14@adventure-works.com,60000,Bachelors,Professional,1,942 Brook Street,09-01-2011
11008,32,Rob Verhoff,04-07-1975,S,F,rob4@adventure-works.com,60000,Bachelors,Professional,1,624 Peabody Road,25-01-2011
11009,25,Shannon Carlson,29-09-1969,S,M,shannon38@adventure-works.com,70000,Bachelors,Professional,0,3839 Northgate Road,27-01-2011
11010,22,Jacquelyn Suarez,05-08-1969,S,F,jacquelyn20@adventure-works.com,70000,Bachelors,Professional,0,7800 Corrinne Court,14-01-2011
11011,22,Curtis Lu,03-05-1969,M,M,curtis9@adventure-works.com,60000,Bachelors,Professional,1,1224 Shoenic,30-12-2010
11012,611,Lauren Walker,14-01-1979,M,F,lauren41@adventure-works.com,100000,Bachelors,Management,1,4785 Scott Street,16-03-2013
11013,543,Ian Jenkins,03-08-1979,M,M,ian47@adventure-works.com,100000,Bachelors,Management,1,7902 Hudson Ave.,13-04-2013
11014,634,Sydney Bennett,06-11-1973,S,F,sydney23@adventure-works.com,100000,Bachelors,Management,0,9011 Tank Drive,23-03-2013
11015,301,Chloe Young,26-08-1984,S,F,chloe23@adventure-works.com,30000,Partial College,Skilled Manual,0,244 Willow Pass Road,18-01-2013
11016,329,Wyatt Hill,25-10-1984,M,M,wyatt32@adventure-works.com,30000,Partial College,Skilled Manual,1,9666 Northridge Ct.,09-02-2013
11017,39,Shannon Wang,24-12-1949,S,F,shannon1@adventure-works.com,20000,High School,Skilled Manual,1,7330 Saddlehill Lane,12-01-2011
11018,32,Clarence Rai,06-10-1955,S,M,clarence32@adventure-works.com,30000,Partial College,Clerical,1,244 Rivewview,17-01-2011
11019,52,Luke Lal,04-09-1983,S,M,luke18@adventure-works.com,40000,High School,Skilled Manual,0,7832 Landing Dr,12-02-2013
11020,53,Jordan King,19-03-1984,S,M,jordan73@adventure-works.com,40000,High School,Skilled Manual,0,7156 Rose Dr.,29-12-2012
11021,536,Destiny Wilson,02-03-1984,S,F,destiny7@adventure-works.com,40000,Partial College,Skilled Manual,0,8148 W. Lake Dr.,23-01-2013
11022,609,Ethan Zhang,10-04-1984,M,M,ethan20@adventure-works.com,40000,Partial College,Skilled Manual,1,1769 Nicholas Drive,20-01-2013
