EmployeeKey,ParentEmployeeKey,SalesTerritoryKey,EmployeeName,Title,EmailAddress,DepartmentName,HireDate,BirthDate,,,,
112,,11,Ken Sánchez,Chief Executive Officer,ken0@adventure-works.com,Executive,14-Aug-08,29-Aug-68,,,,
144,112,11,Laura Norman,Chief Financial Officer,laura1@adventure-works.com,Executive,31-Aug-08,06-Aug-75,,,,
272,277,11,Stephen Jiang,North American Sales Manager,stephen0@adventure-works.com,Sales,04-Aug-10,17-May-51,,,,
277,112,11,Brian Welcker,Vice President of Sales,brian3@adventure-works.com,Sales,15-Sep-10,04-Jan-77,,,,
290,277,11,Amy Alberts,European Sales Manager,amy0@adventure-works.com,Sales,15-Nov-11,20-Apr-57,,,,
294,277,11,Syed Abbas,Pacific Sales Manager,syed0@adventure-works.com,Sales,12-Oct-12,11-Aug-74,,,,
143,112,11,Laura Norman,Chief Financial Officer,laura1@adventure-works.com,Executive,31-Aug-08,06-Aug-75,,,,
281,272,2,Michael Blythe,Sales Representative,michael9@adventure-works.com,Sales,29-Dec-10,25-Jul-68,,,,
282,272,4,Linda Mitchell,Sales Representative,linda3@adventure-works.com,Sales,29-Dec-10,27-Sep-79,,,,
283,272,3,Jillian Carson,Sales Representative,jillian0@adventure-works.com,Sales,29-Dec-10,29-Mar-62,,,,
284,272,6,Garrett Vargas,Sales Representative,garrett1@adventure-works.com,Sales,29-Dec-10,04-Sep-74,,,,
285,272,5,Tsvi Reiter,Sales Representative,tsvi0@adventure-works.com,Sales,29-Dec-10,18-Aug-73,,,,
286,272,1,Pamela Ansman-Wolfe,Sales Representative,pamela0@adventure-works.com,Sales,29-Dec-10,06-Jul-74,,,,
287,272,4,Shu Ito,Sales Representative,shu0@adventure-works.com,Sales,29-Dec-10,08-Oct-43,,,,
288,272,6,José Saraiva,Sales Representative,josé1@adventure-works.com,Sales,29-Dec-10,11-Jul-39,,,,
289,272,1,David Campbell,Sales Representative,david8@adventure-works.com,Sales,29-Dec-10,11-Sep-73,,,,
291,290,10,Jae Pak,Sales Representative,jae0@adventure-works.com,Sales,29-Dec-11,16-Oct-67,,,,
292,290,7,Ranjit Varkey Chudukatil,Sales Representative,ranjit0@adventure-works.com,Sales,29-Dec-11,30-Apr-75,,,,
293,272,1,Tete Mensa-Annan,Sales Representative,tete0@adventure-works.com,Sales,30-Apr-12,05-Aug-77,,,,
295,290,8,Rachel Valdez,Sales Representative,rachel0@adventure-works.com,Sales,28-Dec-12,06-Feb-75,,,,
296,294,9,Lynn Tsoflias,Sales Representative,lynn0@adventure-works.com,Sales,28-Dec-12,16-Oct-70,,,,
