doctor_id,first_name,last_name,specialization,contact_no
301,Manuel,Jacobson,Cardiologist,(210)386-6974x257
302,Amber,Williams,Dermatologist,876.416.8150x6943
303,James,Long,General Physician,(603)770-7189x33409
304,Kimberly,Thornton,Pulmonologist,5107677797
305,Latasha,Hampton,Dermatologist,(149)499-4733x5395
306,Travis,Green,Orthopedic,418.692.9881
307,John,Torres,Cardiologist,001-476-729-5458x6546
308,Reginald,Padilla,General Physician,(193)169-4909x91671
309,Chase,Smith,General Physician,001-296-969-5698x39971
310,Traci,Edwards,General Physician,-3811
311,Leslie,May,Cardiologist,551-696-7545
312,Timothy,Jones,Pulmonologist,+1-503-897-3505x0040
313,Patricia,Oliver,General Physician,245-792-0826x96321
314,Lisa,Galvan,Pulmonologist,209.371.8367x618
315,Kristy,Montoya,Neurologist,944.652.5103
316,Rebecca,Compton,Neurologist,001-337-260-8098x127
317,Lisa,Simmons,Pulmonologist,9825280260
318,Andrew,Salas,Orthopedic,796.301.0483x429
319,Curtis,Crawford,Orthopedic,001-830-843-0073
320,Miranda,Powell,Cardiologist,-2191
